Вели_кий инквизи_тор,Der Grossinquisitor
сочини_тель,der Autor
быть в обы_чае,üblich sein
го_рный,bergig
мона_х,der Mönch
простоду_шный,einfältig
назида_тельный,belehrend
дарово_й,unentgeltlich
Ве_тхий заве_т,Altes Testament
Но_вый заве_т,Neues Testament
соверши_ть(ся)/соверша_ть(ся),(sich) vollziehen
на_добность (ж),die Notwendigkeit
тата_рщина,das Tatarenjoch
богоро_дица,die Muttergottes
му_ка,die Qual
сме_лость (ж),die Kühnheit
гре_шник,der Sünder
занима_тельный,interessant
разря_д,die Kategorie
погряза_ть/погрязну_ть,versinken
выраже_ние,der Ausdruck
чрезвыча_йный,ausserordentlich
поража_ть(ся)/порази_ть(ся),erschüttern; erschüttert sein
поми_лование,die Vergebung; die Begnadigung
умоля_ть/умоли_ть,flehen
прогвождённый,(mit einem Nagel) durchbohrt
веле_ть,befehlen; gebieten
разбо_р,die Untersuchung; die Auswahl
Страстна_я пя_тница,Karfreitag
Тро_ица,Pfingsten
в том же роде,auf dieselbe Art
ми_нуть,vergehen; verstreichen (Zeit)
обетова_ние,die Verheissung; das gelobte Land
проро_к,der Prophet
грясти_,anbrechen
изрека_ть/изре_чь,aussprechen
пре_жний,früher; ehemals
умиле_ние,die Rührung
и_бо,denn
прекраща_ться/прекрати_ться,aufhören; abbrechen
зало_г,der Pfand
исцеле_ние,die Genesung
пра_ведный,fromm; gerecht
жизнеописа_ние,die Lebensbeschreibung
дья_вол,der Teufel
дрема_ть,schlummern
сомне_ние,der Zweifel
правди_вость (ж),die Wahrhaftigkeit
е_ресь (ж),die Ketzerei
подо_бный,ähnlich
свети_льник,die Leuchte
богоху_льний,gotteslästerlich
пла_менный,flammend; glühend; leidenschaftlich
по-пре_жнему,wie früher
жа_ждать,begehren; dürsten
страда_ть/постради_ть чем,an etw. leiden
неизмери_мый,unermesslich
сострада_ние,das Mitleid
снисходи_ть/снизойти_,hinabsteigen; sich herablassen
му_ченик,der Märtyrer
отше_льник,der Eremit; der Einsiedler
возвеща_ть/возвести_ть,verkünden
удруча_ть/удручи_ть,bedrücken
ра_бство,die Knechtschaft; die Sklaverei
благослове_ние,der Segen
непреме_нный,unbedingt
мгнове_ние,der Augenblick
смра_дный,stinkend
ежедне_вный,(all)täglich
внеза_пный,plötzlich; unerwartet
мо_лния,der Blitz
затреща_ть,anfangen zu knistern/knattern
безме_рный,unermesslich
милосе_рдие,die Barmherzigkeit
